Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	PDB	Subcellular location [CC]	Transmembrane
Q5T7P2	reviewed	LCE1A_HUMAN	Late cornified envelope protein 1A (Late envelope protein 1)	LCE1A LEP1	Homo sapiens (Human)	110	TISSUE SPECIFICITY: Skin-specific. Expression was readily detected in adult trunk skin, adult arm skin, fetal skin, penal skin, vulva, esophagus and tongue. Not expressed in the cervix, rectum, lung, colon, or placenta. {ECO:0000269|PubMed:15854049}.			
Q5T7P3	reviewed	LCE1B_HUMAN	Late cornified envelope protein 1B (Late envelope protein 2) (Small proline-rich-like epidermal differentiation complex protein 2A)	LCE1B LEP2 SPRL2A	Homo sapiens (Human)	118	TISSUE SPECIFICITY: Skin-specific. Expression was readily detected in adult trunk skin, adult arm skin, fetal skin, penal skin, vulva, esophagus and tongue. Not expressed in the cervix, rectum, lung, colon, or placenta. {ECO:0000269|PubMed:15854049}.			
Q5TA76	reviewed	LCE3A_HUMAN	Late cornified envelope protein 3A (Late envelope protein 13)	LCE3A LEP13	Homo sapiens (Human)	89	TISSUE SPECIFICITY: Skin-specific. Expression was readily detected in adult trunk skin, adult arm skin, fetal skin, penal skin, vulva, esophagus and tongue. Not expressed in the cervix, rectum, lung, colon, or placenta. {ECO:0000269|PubMed:15854049}.			
Q5TA77	reviewed	LCE3B_HUMAN	Late cornified envelope protein 3B (Late envelope protein 14)	LCE3B LEP14	Homo sapiens (Human)	95	TISSUE SPECIFICITY: Skin-specific. Expression was readily detected in adult trunk skin, adult arm skin, fetal skin, penal skin, vulva, esophagus and tongue. Not expressed in the cervix, rectum, lung, colon, or placenta. {ECO:0000269|PubMed:15854049}.			
Q5TA78	reviewed	LCE4A_HUMAN	Late cornified envelope protein 4A (Late envelope protein 8) (Small proline-rich-like epidermal differentiation complex protein 4A)	LCE4A LEP8 SPRL4A	Homo sapiens (Human)	99	TISSUE SPECIFICITY: Skin-specific. Expression was readily detected in adult trunk skin, adult arm skin, fetal skin, penal skin, vulva, esophagus and tongue. Not expressed in the cervix, rectum, lung, colon, or placenta. {ECO:0000269|PubMed:15854049}.			
Q5TA79	reviewed	LCE2A_HUMAN	Late cornified envelope protein 2A (Late envelope protein 9)	LCE2A LEP9	Homo sapiens (Human)	106	TISSUE SPECIFICITY: Skin-specific. Expression was readily detected in adult trunk skin, adult arm skin, fetal skin, penal skin, vulva, esophagus and tongue. Not expressed in the cervix, rectum, lung, colon, or placenta. {ECO:0000269|PubMed:15854049}.			
Q5TA81	reviewed	LCE2C_HUMAN	Late cornified envelope protein 2C (Late envelope protein 11)	LCE2C LEP11	Homo sapiens (Human)	110	TISSUE SPECIFICITY: Skin-specific. Expression was readily detected in adult trunk skin, adult arm skin, fetal skin, penal skin, vulva, esophagus and tongue. Not expressed in the cervix, rectum, lung, colon, or placenta. {ECO:0000269|PubMed:15854049}.			
Q5TA82	reviewed	LCE2D_HUMAN	Late cornified envelope protein 2D (Late envelope protein 12) (Small proline-rich-like epidermal differentiation complex protein 1A)	LCE2D LEP12 SPRL1A	Homo sapiens (Human)	110	TISSUE SPECIFICITY: Skin-specific. Expression was readily detected in adult trunk skin, adult arm skin, fetal skin, penal skin, vulva, esophagus and tongue. Not expressed in the cervix, rectum, lung, colon, or placenta. {ECO:0000269|PubMed:15854049}.			
Q5TCM9	reviewed	LCE5A_HUMAN	Late cornified envelope protein 5A (Late envelope protein 18) (Small proline-rich-like epidermal differentiation complex protein 5A)	LCE5A LEP18 SPRL5A	Homo sapiens (Human)	118	TISSUE SPECIFICITY: Skin-specific. Expression was readily detected in adult trunk skin, adult arm skin, fetal skin, penal skin, vulva, esophagus and tongue. Not expressed in the cervix, rectum, lung, colon, or placenta. Expression is observed in the heart. {ECO:0000269|PubMed:15854049}.			
Q5VXI9	reviewed	LIPN_HUMAN	Lipase member N (EC 3.1.1.13) (EC 3.1.1.3) (Lipase-like abhydrolase domain-containing protein 4)	LIPN LIPL4	Homo sapiens (Human)	398	TISSUE SPECIFICITY: Highly expressed in the epidermis in the granular keratinocytes. Also detected in other tissues, although at much lower levels, including lung and spleen. {ECO:0000269|PubMed:17562024, ECO:0000269|PubMed:21439540}.		SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	
Q5XKE5	reviewed	K2C79_HUMAN	Keratin, type II cytoskeletal 79 (Cytokeratin-79) (CK-79) (Keratin-6-like) (Keratin-6L) (Keratin-79) (K79) (Type-II keratin Kb38)	KRT79 K6L KB38 KRT6L	Homo sapiens (Human)	535	TISSUE SPECIFICITY: Expressed in skeletal muscle, skin and scalp, but not in any other tissues or organs examined. {ECO:0000269|PubMed:15737194}.			
Q674X7	reviewed	KAZRN_HUMAN	Kazrin	KAZN C1orf196 KAZ KIAA1026 HRIHFB2003	Homo sapiens (Human)	775	TISSUE SPECIFICITY: Isoform 2, isoform 3 and isoform 4 are expressed in several cell lines including keratinocytes and bladder and epidermoid carcinoma (at protein level). Isoform 2, isoform 3 and isoform 4 are expressed in hair follicle and interfollicular epidermis (at protein level). {ECO:0000269|PubMed:15337775}.		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm. Cell junction, desmosome. Nucleus. Note=Observed at the apical plasma membrane of keratinocytes. Partially colocalizes with PPL and DP at desmosomes, and with PP at the interdesmosomal plasma membrane. Colocalizes with cortical actin-based membrane structures.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm. Cell junction, desmosome. Nucleus. Note=Observed at the apical plasma membrane of keratinocytes. Partially colocalizes with PPL and DP at desmosomes, and with PP at the interdesmosomal plasma membrane. Colocalizes with cortical actin-based membrane structures.; SUBCELLULAR LOCATION: [Isoform 4]: Cytoplasm. Cell junction, desmosome. Nucleus. Note=Observed at the apical plasma membrane of keratinocytes. Partially colocalizes with PPL and DP at desmosomes, and with PP at the interdesmosomal plasma membrane. Colocalizes with cortical actin-based membrane structures.	
Q6A162	reviewed	K1C40_HUMAN	Keratin, type I cytoskeletal 40 (Cytokeratin-40) (CK-40) (Keratin-40) (K40) (Type I hair keratin Ka36)	KRT40 KA36	Homo sapiens (Human)	431	TISSUE SPECIFICITY: Expressed in skin and scalp. Also very weakly expressed in tongue, breast, colon and small intestine. In the hair follicle, it is specifically present in the upper hair cuticle. Not present in the upper cortex (at protein level). {ECO:0000269|PubMed:15617563, ECO:0000269|PubMed:17301834}.			
Q6A163	reviewed	K1C39_HUMAN	Keratin, type I cytoskeletal 39 (Cytokeratin-39) (CK-39) (Keratin-39) (K39) (Type I hair keratin Ka35)	KRT39 KA35	Homo sapiens (Human)	491	TISSUE SPECIFICITY: Expressed in skin and scalp. In the hair follicle, it is present in the upper hair cuticle and the upper cortex. Also present in the in the upper portion of beard hairs (at protein level). {ECO:0000269|PubMed:15617563, ECO:0000269|PubMed:17301834}.			
Q6DN72	reviewed	FCRL6_HUMAN	Fc receptor-like protein 6 (FcR-like protein 6) (FcRL6) (Fc receptor homolog 6) (FcRH6) (IFGP6)	FCRL6 FCRH6	Homo sapiens (Human)	434	TISSUE SPECIFICITY: Expressed by cytolytic cells including NK cells, effector and effector-memory CD8(+) T-cells, and a subset of NKT cells (at protein level) (PubMed:17213291, PubMed:18991291, PubMed:20933011). Also expressed in gamma delta T cells and in a rare subset of effector CD4(+) T-cells (at protein level) (PubMed:18991291). Expressed in spleen, skin, peripheral blood leukocytes, liver, lung, bone marrow, small intestine and placenta (PubMed:20933011). Expression among T-cells is greatly expanded in HIV-1 infected individuals, and includes not only effector and effector-memory CD8(+) T-cells but also populations of CD4(+) T-cells (PubMed:17213291, PubMed:20933011). Expression among CD8(+) T-cells and NK cells is expanded in individuals with chronic lymphocytic leukemia (CLL) but is reduced in PBMCs from patients with acute (AML), chronic myeloid leukemia (CML) and non-Hodgkin's lymphoma (PubMed:18991291, PubMed:20933011). Expression is higher in PBMCs and/or CD3(+) cells of patients with autoimmune diseases, such as rheumatoid arthritis (RA), systemic lupus erythematosus (SLE) and idiopathic thrombocytopenia purpura (ITP) (PubMed:20933011). In contrast, expression in CD3(+) cells from patients with lupus anticoagulans (LA) is higher (PubMed:20933011). {ECO:0000269|PubMed:17213291, ECO:0000269|PubMed:18991291, ECO:0000269|PubMed:20933011}.		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18991291, ECO:0000269|PubMed:20933011}; Single-pass type I membrane protein {ECO:0000305}.	TRANSMEM 308..328; /note="Helical"; /evidence="ECO:0000255"
Q6E0U4	reviewed	DMKN_HUMAN	Dermokine (Epidermis-specific secreted protein SK30/SK89)	DMKN UNQ729/PRO1411	Homo sapiens (Human)	476	TISSUE SPECIFICITY: Expressed in epidermis; in the spinous and granular layers and in placenta. Also found in the epithelia of the small intestine, macrophages of the lung and endothelial cells of the lung. Isoform 15 is expressed in epidermis and placenta. Isoform 1 is expressed in epidermis. {ECO:0000269|PubMed:16374476, ECO:0000269|PubMed:17380110}.	4F20;	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:15234001}.	
Q6E213	reviewed	AWAT2_HUMAN	Acyl-CoA wax alcohol acyltransferase 2 (EC 2.3.1.75) (11-cis-specific retinyl-ester synthase) (11-cis-RE-synthase) (Acyl-CoA retinol O-fatty-acyltransferase) (ARAT) (Retinol O-fatty-acyltransferase) (EC 2.3.1.76) (Diacylglycerol O-acyltransferase 2-like protein 4) (EC 2.3.1.20) (Diacylglycerol O-acyltransferase candidate 4) (hDC4) (Long-chain-alcohol O-fatty-acyltransferase 2) (Multifunctional O-acyltransferase) (Wax synthase) (hWS)	AWAT2 DC4 DGAT2L4 MFAT WS	Homo sapiens (Human)	333	TISSUE SPECIFICITY: Highly expressed in skin, where it is primarily restricted to undifferentiated peripheral sebocytes. Also expressed at lower level in other tissues except pancreas. {ECO:0000269|PubMed:15220349, ECO:0000269|PubMed:15671038, ECO:0000269|PubMed:16106050}.		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q6E1M8}; Multi-pass membrane protein {ECO:0000255}.	TRANSMEM 15..35; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 38..58; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 130..150; /note="Helical"; /evidence="ECO:0000255"
Q6F5E8	reviewed	CARL2_HUMAN	Capping protein, Arp2/3 and myosin-I linker protein 2 (Capping protein regulator and myosin 1 linker 2) (F-actin-uncapping protein RLTPR) (Leucine-rich repeat-containing protein 16C) (RGD, leucine-rich repeat, tropomodulin and proline-rich-containing protein)	CARMIL2 LRRC16C RLTPR	Homo sapiens (Human)	1435	TISSUE SPECIFICITY: Expressed in all tissues tested, including thymus, spleen, colon, leukocytes, peripheral blood, skin, skin keratinocytes and skin fibroblasts. Strong expression is detected in naive and memory CD4+ and CD8+ T cells, naive and memory B cells, regulatory T cells and NK cells, whereas it is poorly expressed in monocytes (PubMed:27647349). {ECO:0000269|PubMed:15588584, ECO:0000269|PubMed:27647349}.		SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:19846667, ECO:0000269|PubMed:26466680}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:19846667, ECO:0000269|PubMed:26466680, ECO:0000269|PubMed:26578515}. Cell membrane {ECO:0000269|PubMed:26466680, ECO:0000269|PubMed:26578515}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cell projection, lamellipodium {ECO:0000269|PubMed:26578515}. Cell projection, ruffle {ECO:0000269|PubMed:26466680, ECO:0000269|PubMed:26578515}. Note=Colocalizes to dynamic vimentin filaments both in the central cytoplasm and at leading edges of migrating cells (PubMed:19846667, PubMed:26466680, PubMed:26578515). Colocalizes with F-actin, Arp2/3 complex and cortactin to leading edge lamellipodia, ruffles and macropinosomes of migrating cells (PubMed:26578515). {ECO:0000269|PubMed:19846667, ECO:0000269|PubMed:26466680, ECO:0000269|PubMed:26578515}.	
Q6KB66	reviewed	K2C80_HUMAN	Keratin, type II cytoskeletal 80 (Cytokeratin-80) (CK-80) (Keratin-80) (K80) (Type-II keratin Kb20)	KRT80 KB20	Homo sapiens (Human)	452	TISSUE SPECIFICITY: Weakly expressed in tongue, but not skin or in any other tissues or organs examined. {ECO:0000269|PubMed:15737194}.			
Q6L8G8	reviewed	KRA57_HUMAN	Keratin-associated protein 5-7 (Keratin-associated protein 5-3) (Keratin-associated protein 5.3) (Keratin-associated protein 5.7) (Ultrahigh sulfur keratin-associated protein 5.7)	KRTAP5-7 KAP5-7 KAP5.3 KRTAP5.3 KRTAP5.7	Homo sapiens (Human)	165	TISSUE SPECIFICITY: Expressed in hair root but not in skin. {ECO:0000269|PubMed:15144888}.			
Q6L8G9	reviewed	KRA56_HUMAN	Keratin-associated protein 5-6 (Keratin-associated protein 5.6) (Ultrahigh sulfur keratin-associated protein 5.6)	KRTAP5-6 KAP5.6 KRTAP5.6	Homo sapiens (Human)	129	TISSUE SPECIFICITY: Expressed in hair root and not in skin. Expressed also in liver and skeletal muscle. {ECO:0000269|PubMed:15144888}.			
Q6L8H4	reviewed	KRA51_HUMAN	Keratin-associated protein 5-1 (Keratin, cuticle, ultrahigh sulphur 1-like) (Keratin-associated protein 5.1) (Ultrahigh sulfur keratin-associated protein 5.1)	KRTAP5-1 KAP5.1 KRN1L KRTAP5.1	Homo sapiens (Human)	278	TISSUE SPECIFICITY: Expressed in hair root but not in skin. Expressed also in lung, pancreas, ovary, testis. {ECO:0000269|PubMed:15144888}.			
Q6NTF7	reviewed	ABC3H_HUMAN	DNA dC->dU-editing enzyme APOBEC-3H (EC 3.5.4.38) (APOBEC-related protein 10) (ARP-10) (Apolipoprotein B mRNA-editing enzyme catalytic polypeptide-like 3H) (A3H)	APOBEC3H	Homo sapiens (Human)	200	TISSUE SPECIFICITY: Expressed in lymphoid organs. Also detected in non-lymphoid tissues including lung, testis, ovary, fetal liver and skin. {ECO:0000269|PubMed:16571802, ECO:0000269|PubMed:20308164}.	5W45;6B0B;6BBO;8FVI;	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21653666, ECO:0000269|PubMed:21835787, ECO:0000269|PubMed:29290613}. Nucleus {ECO:0000269|PubMed:18779051, ECO:0000269|PubMed:21653666}. Cytoplasm, P-body {ECO:0000269|PubMed:22915799}. Note=Haplotype 1 is distributed in both the nucleus and cytoplasm, whereas haplotype 2 is predominantly cytoplasmic. {ECO:0000269|PubMed:21653666}.	
Q6NXT4	reviewed	ZNT6_HUMAN	Zinc transporter 6 (ZnT-6) (Solute carrier family 30 member 6)	SLC30A6 ZNT6	Homo sapiens (Human)	461	TISSUE SPECIFICITY: Expressed in brain; especially in cerebellum, hippocampus, parahippocampal gyrus, superior and middle temporal gyrus. Also expressed in B-cells, colon, eye, and lung. Lower expression was present in bone, brain, cervix, ear, heart, kidney, muscle, nerve, pancreas, prostate, skin, stomach, and testis. {ECO:0000269|PubMed:15154973, ECO:0000269|PubMed:16580781}.		SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:19366695}; Multi-pass membrane protein {ECO:0000255}.	TRANSMEM 34..54; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 65..85; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 99..119; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 135..155; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 201..221; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 224..244; /note="Helical"; /evidence="ECO:0000255"
Q6P1J6	reviewed	PLB1_HUMAN	Phospholipase B1, membrane-associated (Phospholipase B) (hPLB) (Lysophospholipase) (EC 3.1.1.5) (Phospholipase A2) (EC 3.1.1.4) (Phospholipase B/lipase) (PLB/LIP) (Triacylglycerol lipase) (EC 3.1.1.3)	PLB1 PLB	Homo sapiens (Human)	1458	TISSUE SPECIFICITY: Expressed in the epidermis (at protein level). {ECO:0000269|PubMed:12150957}.		SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:O54728}; Single-pass type I membrane protein {ECO:0000255}. Note=Present in the intestinal brush border membranes. {ECO:0000250|UniProtKB:O54728}.	TRANSMEM 1418..1438; /note="Helical"; /evidence="ECO:0000255"
Q6P589	reviewed	TP8L2_HUMAN	Tumor necrosis factor alpha-induced protein 8-like protein 2 (TIPE2) (TNF alpha-induced protein 8-like protein 2) (TNFAIP8-like protein 2) (Inflammation factor protein 20)	TNFAIP8L2	Homo sapiens (Human)	184	TISSUE SPECIFICITY: Expressed in T-cells, B-cells, macrophages, neurons in the brain and brainstem, and stratified squamous epithelia of the esophagus, cervix and skin. {ECO:0000269|PubMed:21459448}.	3F4M;	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21459448, ECO:0000269|PubMed:27043859, ECO:0000269|PubMed:32460619}. Nucleus {ECO:0000269|PubMed:21459448, ECO:0000269|PubMed:27043859}. Lysosome {ECO:0000269|PubMed:32460619}.	
Q6PD74	reviewed	AAGAB_HUMAN	Alpha- and gamma-adaptin-binding protein p34	AAGAB	Homo sapiens (Human)	315	TISSUE SPECIFICITY: Widely expressed, including in skin and keratinocytes, with highest levels in adrenal gland, rectum and thymus. {ECO:0000269|PubMed:23000146, ECO:0000269|PubMed:23064416}.	7TWD;	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:23000146, ECO:0000269|PubMed:23064416}.	
Q6PJF5	reviewed	RHDF2_HUMAN	Inactive rhomboid protein 2 (iRhom2) (Rhomboid 5 homolog 2) (Rhomboid family member 2) (Rhomboid veinlet-like protein 5) (Rhomboid veinlet-like protein 6)	RHBDF2 IRHOM2 RHBDL5 RHBDL6	Homo sapiens (Human)	856	TISSUE SPECIFICITY: Found in the epidermis and esophageal epithelium. {ECO:0000269|PubMed:22265016}.	8SNL;8SNM;8SNN;8SNO;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q80WQ6}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q80WQ6}. Cell membrane {ECO:0000269|PubMed:22265016, ECO:0000269|PubMed:29897333}.	TRANSMEM 410..430; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 661..681; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 693..713; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 716..736; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 748..768; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 774..794; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 803..823; /note="Helical"; /evidence="ECO:0000255"
Q6QHC5	reviewed	DEGS2_HUMAN	Sphingolipid delta(4)-desaturase/C4-monooxygenase DES2 (EC 1.14.18.5) (EC 1.14.19.17) (Degenerative spermatocyte homolog 2) (Sphingolipid 4-desaturase) (Sphingolipid C4-monooxygenase)	DEGS2 C14orf66	Homo sapiens (Human)	323	TISSUE SPECIFICITY: Highly expressed in skin, intestine and kidney. {ECO:0000269|PubMed:15063729}.		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q8R2F2}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q8R2F2}.	TRANSMEM 45..65; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 68..88; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 210..231; /note="Helical"; /evidence="ECO:0000255"
Q6TFL4	reviewed	KLH24_HUMAN	Kelch-like protein 24 (Kainate receptor-interacting protein for GluR6) (KRIP6) (Protein DRE1)	KLHL24 DRE1	Homo sapiens (Human)	600	TISSUE SPECIFICITY: Expressed in the skin (PubMed:27798626, PubMed:27889062). Found in keratinocytes, dermal fibroblasts, and melanocytes (PubMed:27889062). Basal-layer keratinocytes have lower KLHL24 expression than suprabasal keratinocytes (PubMed:27798626). Expressed in the brain, spinal cord, liver, testis, heart and at higher levels in the skeletal muscle (PubMed:30715372). {ECO:0000269|PubMed:27798626, ECO:0000269|PubMed:27889062, ECO:0000269|PubMed:30715372}.		SUBCELLULAR LOCATION: Perikaryon. Cell projection, axon {ECO:0000250|UniProtKB:Q56A24}. Cytoplasm {ECO:0000250|UniProtKB:Q56A24, ECO:0000269|PubMed:27889062}. Cell junction, desmosome {ECO:0000269|PubMed:27889062}. Cell junction, adherens junction {ECO:0000269|PubMed:27889062}.	
Q6UVW9	reviewed	CLC2A_HUMAN	C-type lectin domain family 2 member A (Keratinocyte-associated C-type lectin) (KACL) (Proliferation-induced lymphocyte-associated receptor) (PILAR)	CLEC2A KACL UNQ5792/PRO19597	Homo sapiens (Human)	174	TISSUE SPECIFICITY: Mainly expressed in skin. Also expressed in keratinocytes, spleen, thymus, small intestine, peripheral blood monocytes, bone marrow, ovary, testis and skin. High expression in CD8(+), B-lymphocytes and naive CD4(+) T-cells. Restricted mostly to proliferating lymphocytes. Not detected in myeloid leukocytes or natural killer (NK) cells. {ECO:0000269|PubMed:18046548, ECO:0000269|PubMed:18550855, ECO:0000269|PubMed:20194751}.	4IOP;	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18046548, ECO:0000269|PubMed:18550855}; Single-pass type II membrane protein {ECO:0000269|PubMed:18046548, ECO:0000269|PubMed:18550855}.	TRANSMEM 28..48; /note="Helical; Signal-anchor for type II membrane protein"; /evidence="ECO:0000255"
Q6UWK7	reviewed	GP15L_HUMAN	Protein GPR15LG (Antimicrobial peptide with 57 amino acid residues) (AP-57) (Antimicrobial peptide-57) (Colon-derived SUSD2 binding factor) (CSBF) (Protein GPR15 ligand) (Protein GPR15L) (Secreted protein C10orf99)	GPR15LG C10orf99 GPR15L UNQ1833/PRO3446	Homo sapiens (Human)	81	TISSUE SPECIFICITY: Expressed at high levels in colon, and cervix and at moderate level in tonsil (PubMed:25585381, PubMed:28900043). Highly reduced expression in primary colon cancer tissues compared with that in adjacent tissues (PubMed:25351403). Highest levels of expression detected in stomach and colon; expressed in epithelium of skin and esophagus, and in some tumor and/or tumor adjacent tissues (TAT), including TAT of esophagus cancer, hepatocellular carcinoma (HCC), squamous cell carcinoma (SCC), basal cell carcinoma (BCC) and invasive ductal carcinoma (IDC) tissues (at protein level) (PubMed:25585381). Highly expressed by inflammatory differentiated keratinocytese (PubMed:35704588). {ECO:0000269|PubMed:25585381, ECO:0000269|PubMed:28900043, ECO:0000269|PubMed:35704588}.	8ZQE;	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:25351403, ECO:0000269|PubMed:25585381}.	
Q6UXL0	reviewed	I20RB_HUMAN	Interleukin-20 receptor subunit beta (IL-20 receptor subunit beta) (IL-20R-beta) (IL-20RB) (Fibronectin type III domain containing 6) (FNDC6) (IL-20R2)	IL20RB DIRS1 UNQ557/PRO1114	Homo sapiens (Human)	311	TISSUE SPECIFICITY: Widely expressed with highest levels in skin and testis. Highly expressed in psoriatic skin. {ECO:0000269|PubMed:11163236}.	4DOH;6DF3;	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.	TRANSMEM 234..254; /note="Helical"; /evidence="ECO:0000255"
Q6UY14	reviewed	ATL4_HUMAN	ADAMTS-like protein 4 (ADAMTSL-4) (Thrombospondin repeat-containing protein 1)	ADAMTSL4 TSRC1 PP1396 UNQ2803/PRO34012	Homo sapiens (Human)	1074	TISSUE SPECIFICITY: Expressed in colon, heart, leukocyte, liver, lung, skeletal muscle, spleen, testis and placenta. Weaker expression in bone marrow, brain tissue, kidney and pancreas. Expression studies in fetal tissues reveal strong expression in heart, kidney, liver, lung and skeletal muscle, but weaker expression in fetal brain and skin. {ECO:0000269|PubMed:19200529}.		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:21989719}. Note=Colocalizes with FMN1 microfibrils in the eye ECM.	
Q6XD76	reviewed	ASCL4_HUMAN	Achaete-scute homolog 4 (ASH-4) (hASH4) (Achaete-scute-like protein 4) (Class A basic helix-loop-helix protein 44) (bHLHa44)	ASCL4 BHLHA44 HASH4	Homo sapiens (Human)	172	TISSUE SPECIFICITY: Expressed in skin. 7-fold higher expression in fetal skin than in adult skin. Weak expression also detected in fetal lung, aorta and brain, and in adult stomach, kidney, ovary and breast. {ECO:0000269|PubMed:15475265}.		SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00981}.	
Q6XUX3	reviewed	DUSTY_HUMAN	Dual serine/threonine and tyrosine protein kinase (EC 2.7.12.1) (Dusty protein kinase) (Dusty PK) (RIP-homologous kinase) (Receptor-interacting serine/threonine-protein kinase 5) (Sugen kinase 496) (SgK496)	DSTYK KIAA0472 RIP5 RIPK5 SGK496 HDCMD38P	Homo sapiens (Human)	929	TISSUE SPECIFICITY: Predominantly expressed in skeletal muscle and testis. Expressed in basolateral and apical membranes of all tubular epithelia. Expressed in thin ascending limb of the loop of Henle and the distal convoluted tubule. Expressed in all layers of transitional ureteric epithelium and in the ureteric smooth-muscle cells. Weakly expressed in heart, brain, placenta, kidney, pancreas, spleen, thymus, prostate, uterus, small intestine, white blood cells, stomach, spinal cord and adrenal gland. Is widely distributed in the CNS. Also detected in several tumor cell lines. Expressed in the skin (PubMed:28157540). {ECO:0000269|PubMed:15178406, ECO:0000269|PubMed:17123648, ECO:0000269|PubMed:23862974, ECO:0000269|PubMed:28157540}.		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17123648, ECO:0000269|PubMed:23862974}. Cell membrane {ECO:0000250|UniProtKB:Q6XUX1}. Apical cell membrane {ECO:0000269|PubMed:23862974}. Basolateral cell membrane {ECO:0000269|PubMed:23862974}. Cell junction {ECO:0000250|UniProtKB:Q6XUX1}. Note=Detected at apical cell-cell junctions. Colocalized with FGF receptors to the cell membrane (By similarity). Detected in basolateral and apical membranes of all tubular epithelia. {ECO:0000250|UniProtKB:Q6XUX1, ECO:0000269|PubMed:23862974}.	
Q6ZN30	reviewed	BNC2_HUMAN	Zinc finger protein basonuclin-2	BNC2	Homo sapiens (Human)	1099	TISSUE SPECIFICITY: Highly expressed in testis, uterus and small intestine, and weakly expressed in colon and prostate. Also expressed in skin, primary keratinocytes, immortalized keratinocytes, and HeLa and HEK293 cells. Not detected in blood, thymus, spleen or Hep-G2 cells. {ECO:0000269|PubMed:14988505, ECO:0000269|PubMed:15081112}.		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15081112}.	
Q6ZSB9	reviewed	ZBT49_HUMAN	Zinc finger and BTB domain-containing protein 49 (Zinc finger protein 509)	ZBTB49 ZNF509	Homo sapiens (Human)	765	TISSUE SPECIFICITY: Highly expressed in normal epidermis and in other epithelial tissues, including in colon and lung. Tends to be down-regulated in colon, lung and skin cancer tissues. {ECO:0000269|PubMed:25245946}.		SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm {ECO:0000269|PubMed:25245946}. Nucleus {ECO:0000269|PubMed:25245946}. Note=Predominantly located in the nucleus. {ECO:0000269|PubMed:25245946}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm {ECO:0000269|PubMed:25245946}. Nucleus {ECO:0000269|PubMed:25245946}.	
Q6ZUI0	reviewed	TPRG1_HUMAN	Tumor protein p63-regulated gene 1 protein (Protein FAM79B)	TPRG1 FAM79B	Homo sapiens (Human)	275	TISSUE SPECIFICITY: Expressed in the epidermal layer of the skin. {ECO:0000269|PubMed:18256694}.		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q8CB49}.	
