Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	Subcellular location [CC]	Transmembrane
Q14512	reviewed	FGFP1_HUMAN	Fibroblast growth factor-binding protein 1 (FGF-BP) (FGF-BP1) (FGF-binding protein 1) (FGFBP-1) (17 kDa heparin-binding growth factor-binding protein) (17 kDa HBGF-binding protein) (HBp17)	FGFBP1 FGFBP HBP17	Homo sapiens (Human)	234	TISSUE SPECIFICITY: Expressed in the suprabasal region of the epidermis, in hair follicles, the basement membrane at the dermo-epidermal junction (occasionally extending into the basement membrane of dermal blood vessels), wounded skin and several invasive squamous cell carcinomas (at protein level). Expressed in normal and wounded skin and various squamous cell carcinomas. {ECO:0000269|PubMed:11148217, ECO:0000269|PubMed:15806171, ECO:0000269|PubMed:1885605}.	SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000269|PubMed:11148217, ECO:0000269|PubMed:15806171}. Cell membrane {ECO:0000269|PubMed:11148217, ECO:0000269|PubMed:15806171}; Peripheral membrane protein {ECO:0000269|PubMed:11148217, ECO:0000269|PubMed:15806171}. Note=Extracellular and plasma membrane-associated. Colocalizes with HSPG2 in the pericellular environment of squamous cell carcinomas. {ECO:0000269|PubMed:11148217}.	
Q15517	reviewed	CDSN_HUMAN	Corneodesmosin (S protein)	CDSN	Homo sapiens (Human)	529	TISSUE SPECIFICITY: Exclusively expressed in skin.	SUBCELLULAR LOCATION: Secreted. Note=Found in corneodesmosomes, the intercellular structures that are involved in desquamation.	
Q15661	reviewed	TRYB1_HUMAN	Tryptase alpha/beta-1 (Tryptase-1) (EC 3.4.21.59) (Tryptase I) (Tryptase alpha-1)	TPSAB1 TPS1 TPS2 TPSB1	Homo sapiens (Human)	275	TISSUE SPECIFICITY: Isoform 1 and isoform 2 are expressed in lung, stomach, spleen, heart and skin; in these tissues, isoform 1 is predominant. Isoform 2 is expressed in aorta, spleen, and breast tumor, with highest levels in the endothelial cells of some blood vessels surrounding the aorta, as well as those surrounding the tumor and low levels, if any, in mast cells (at protein level). {ECO:0000269|PubMed:18854315}.	SUBCELLULAR LOCATION: Secreted. Note=Released from the secretory granules upon mast cell activation. {ECO:0000250}.	
Q15828	reviewed	CYTM_HUMAN	Cystatin-M (Cystatin-6) (Cystatin-E)	CST6	Homo sapiens (Human)	149	TISSUE SPECIFICITY: Restricted to the stratum granulosum of normal skin, the stratum granulosum/spinosum of psoriatic skin, and the secretory coils of eccrine sweat glands. Low expression levels are found in the nasal cavity. {ECO:0000269|PubMed:11348457}.	SUBCELLULAR LOCATION: Secreted.	
Q16363	reviewed	LAMA4_HUMAN	Laminin subunit alpha-4 (Laminin-14 subunit alpha) (Laminin-8 subunit alpha) (Laminin-9 subunit alpha)	LAMA4	Homo sapiens (Human)	1823	TISSUE SPECIFICITY: Detected in placenta (at protein level) (PubMed:32337544). Detected in fibroblasts and urine (at protein level) (PubMed:25326458, PubMed:36213313, PubMed:37453717). In adult, strong expression in heart, lung, ovary small and large intestines, placenta, liver; weak or no expression in skeletal muscle, kidney, pancreas, testis, prostate, brain. High expression in fetal lung and kidney. Expression in fetal and newborn tissues is observed in certain mesenchymal cells in tissues such as smooth muscle and dermis. {ECO:0000269|PubMed:25326458, ECO:0000269|PubMed:32337544, ECO:0000269|PubMed:36213313, ECO:0000269|PubMed:37453717}.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane. Secreted {ECO:0000269|PubMed:25326458, ECO:0000269|PubMed:36213313, ECO:0000269|PubMed:37453717}. Note=Major basement membrane component.	
Q16610	reviewed	ECM1_HUMAN	Extracellular matrix protein 1 (Secretory component p85)	ECM1	Homo sapiens (Human)	540	TISSUE SPECIFICITY: Expressed in breast cancer tissues. Little or no expression observed in normal breast tissues. Expressed in skin; wide expression is observed throughout the dermis with minimal expression in the epidermis. {ECO:0000269|PubMed:11292659, ECO:0000269|PubMed:12604605}.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	
Q16787	reviewed	LAMA3_HUMAN	Laminin subunit alpha-3 (Epiligrin 170 kDa subunit) (E170) (Epiligrin subunit alpha) (Kalinin subunit alpha) (Laminin-5 subunit alpha) (Laminin-6 subunit alpha) (Laminin-7 subunit alpha) (Nicein subunit alpha)	LAMA3 LAMNA	Homo sapiens (Human)	3333	TISSUE SPECIFICITY: Skin; respiratory, urinary, and digestive epithelia and in other specialized tissues with prominent secretory or protective functions. Epithelial basement membrane, and epithelial cell tongue that migrates into a wound bed. A differential and focal expression of the subunit alpha-3 is observed in the CNS.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane. Note=Major component.	
Q2M385	reviewed	MPEG1_HUMAN	Macrophage-expressed gene 1 protein (Macrophage gene 1 protein) (Mpg-1) (Perforin-2) (P-2) [Cleaved into: Macrophage-expressed gene 1 protein, processed form]	MPEG1	Homo sapiens (Human)	716	TISSUE SPECIFICITY: Expressed constitutively in a variety of cell types including macrophages, natural killer cells, neutrophils, keratinocytes and monocytes (PubMed:26402460, PubMed:28705375, PubMed:7888681). In skin, expressed in both hematopoietic and non-hematopoietic cells with expression detected in a variety of cell types including keratinocytes, fibroblasts and endothelial cells (PubMed:30609079). {ECO:0000269|PubMed:26402460, ECO:0000269|PubMed:28705375, ECO:0000269|PubMed:30609079, ECO:0000269|PubMed:7888681}.	SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasmic vesicle membrane {ECO:0000269|PubMed:28705375, ECO:0000269|PubMed:31537793}; Multi-pass membrane protein {ECO:0000255}. Note=Bacterial infection induces translocation of the cytoplasmic vesicles to bacterium-containing phagocytic vesicles and fusing of the vesicles. {ECO:0000269|PubMed:28705375}.; SUBCELLULAR LOCATION: [Macrophage-expressed gene 1 protein, processed form]: Cytoplasmic vesicle, phagosome membrane {ECO:0000250|UniProtKB:A1L314}; Multi-pass membrane protein {ECO:0000250|UniProtKB:A1L314}. Note=Proteolytically processed in lysosomes, leading to its maturation and forms pores in the membrane of antigen-containing phagosomes. {ECO:0000250|UniProtKB:A1L314}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:28705375}.	"TRANSMEM 113..120; /note=""Beta stranded""; /evidence=""ECO:0000250|UniProtKB:A1L314""; TRANSMEM 127..132; /note=""Beta stranded""; /evidence=""ECO:0000250|UniProtKB:A1L314""; TRANSMEM 235..244; /note=""Beta stranded""; /evidence=""ECO:0000250|UniProtKB:A1L314""; TRANSMEM 248..256; /note=""Beta stranded""; /evidence=""ECO:0000250|UniProtKB:A1L314""; TRANSMEM 656..676; /note=""Helical""; /evidence=""ECO:0000255"""
Q4LDE5	reviewed	SVEP1_HUMAN	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (CCP module-containing protein 22) (Polydom) (Selectin-like osteoblast-derived protein) (SEL-OB) (Serologically defined breast cancer antigen NY-BR-38)	SVEP1 C9orf13 CCP22 SELOB	Homo sapiens (Human)	3571	TISSUE SPECIFICITY: Expressed in mesenchymal cells (at protein level) (PubMed:16206243). Expressed in vascular smooth muscle cells (at protein level) (PubMed:35802072). Expressed throughout the epidermis, expression is most prominent in the basal and lower suprabasal layers of the epidermis and in dermal fibroblasts in the upper dermis (at protein level) (PubMed:27892606). Abundantly expressed in the placenta, weakly expressed in heart and skeletal muscle (PubMed:11062057, PubMed:27892606). Also expressed in the lung, adrenal gland and cerebellum (PubMed:27892606). {ECO:0000269|PubMed:11062057, ECO:0000269|PubMed:16206243, ECO:0000269|PubMed:27892606, ECO:0000269|PubMed:35802072}.	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:A2AVA0}. Nucleus {ECO:0000269|PubMed:27892606}. Cytoplasm {ECO:0000269|PubMed:16206243, ECO:0000269|PubMed:27892606}. Membrane {ECO:0000269|PubMed:16206243}; Peripheral membrane protein {ECO:0000269|PubMed:16206243}.	
Q4ZHG4	reviewed	FNDC1_HUMAN	Fibronectin type III domain-containing protein 1 (Activation-associated cDNA protein) (Expressed in synovial lining protein)	FNDC1 FNDC2 KIAA1866 MEL4B3	Homo sapiens (Human)	1894	TISSUE SPECIFICITY: Almost absent from healthy skin; especially in epidermal keratinocytes, skin fibroblasts or endothelial cells and is barely detectable in benign melanocytic naevi. Expressed in the stroma close to skin tumors, in the tumor cells themselves and in the epidermis of psoriasis.	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	
Q53H76	reviewed	PLA1A_HUMAN	Phospholipase A1 member A (EC 3.1.1.111) (Phosphatidylserine-specific phospholipase A1) (PS-PLA1)	PLA1A NMD PSPLA1	Homo sapiens (Human)	456	TISSUE SPECIFICITY: Widely expressed. Expressed in placenta, prostate and liver. Weakly or not expressed in skin, leukocytes, platelets, colon, spleen, lung, muscle and kidney. {ECO:0000269|PubMed:9074642}.	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P97535}.	
Q53RT3	reviewed	APRV1_HUMAN	Retroviral-like aspartic protease 1 (EC 3.4.23.-) (Skin-specific retroviral-like aspartic protease) (SASPase) (Skin aspartic protease) (TPA-inducible aspartic proteinase-like protein) (TAPS)	ASPRV1 SASP	Homo sapiens (Human)	343	TISSUE SPECIFICITY: Expressed primarily in the granular layer of the epidermis and inner root sheath of hair follicles. In psoriatic skin, expressed throughout the stratum corneum. In ulcerated skin, expressed in the stratum granulosum of intact epidermis but almost absent from ulcerated regions. Expressed in differentiated areas of squamous cell carcinomas but not in undifferentiated tumors. {ECO:0000269|PubMed:16098038, ECO:0000269|PubMed:16565508}.	SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass membrane protein {ECO:0000255}.	"TRANSMEM 56..76; /note=""Helical""; /evidence=""ECO:0000255"""
Q5VXI9	reviewed	LIPN_HUMAN	Lipase member N (EC 3.1.1.13) (EC 3.1.1.3) (Lipase-like abhydrolase domain-containing protein 4)	LIPN LIPL4	Homo sapiens (Human)	398	TISSUE SPECIFICITY: Highly expressed in the epidermis in the granular keratinocytes. Also detected in other tissues, although at much lower levels, including lung and spleen. {ECO:0000269|PubMed:17562024, ECO:0000269|PubMed:21439540}.	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	
Q6E0U4	reviewed	DMKN_HUMAN	Dermokine (Epidermis-specific secreted protein SK30/SK89)	DMKN UNQ729/PRO1411	Homo sapiens (Human)	476	TISSUE SPECIFICITY: Expressed in epidermis; in the spinous and granular layers and in placenta. Also found in the epithelia of the small intestine, macrophages of the lung and endothelial cells of the lung. Isoform 15 is expressed in epidermis and placenta. Isoform 1 is expressed in epidermis. {ECO:0000269|PubMed:16374476, ECO:0000269|PubMed:17380110}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:15234001}.	
Q6UWK7	reviewed	GP15L_HUMAN	Protein GPR15LG (Antimicrobial peptide with 57 amino acid residues) (AP-57) (Antimicrobial peptide-57) (Colon-derived SUSD2 binding factor) (CSBF) (Protein GPR15 ligand) (Protein GPR15L) (Secreted protein C10orf99)	GPR15LG C10orf99 GPR15L UNQ1833/PRO3446	Homo sapiens (Human)	81	TISSUE SPECIFICITY: Expressed at high levels in colon, and cervix and at moderate level in tonsil (PubMed:25585381, PubMed:28900043). Highly reduced expression in primary colon cancer tissues compared with that in adjacent tissues (PubMed:25351403). Highest levels of expression detected in stomach and colon; expressed in epithelium of skin and esophagus, and in some tumor and/or tumor adjacent tissues (TAT), including TAT of esophagus cancer, hepatocellular carcinoma (HCC), squamous cell carcinoma (SCC), basal cell carcinoma (BCC) and invasive ductal carcinoma (IDC) tissues (at protein level) (PubMed:25585381). Highly expressed by inflammatory differentiated keratinocytese (PubMed:35704588). {ECO:0000269|PubMed:25585381, ECO:0000269|PubMed:28900043, ECO:0000269|PubMed:35704588}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:25351403, ECO:0000269|PubMed:25585381}.	
Q6UXL0	reviewed	I20RB_HUMAN	Interleukin-20 receptor subunit beta (IL-20 receptor subunit beta) (IL-20R-beta) (IL-20RB) (Fibronectin type III domain containing 6) (FNDC6) (IL-20R2)	IL20RB DIRS1 UNQ557/PRO1114	Homo sapiens (Human)	311	TISSUE SPECIFICITY: Widely expressed with highest levels in skin and testis. Highly expressed in psoriatic skin. {ECO:0000269|PubMed:11163236}.	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.	"TRANSMEM 234..254; /note=""Helical""; /evidence=""ECO:0000255"""
Q6UY14	reviewed	ATL4_HUMAN	ADAMTS-like protein 4 (ADAMTSL-4) (Thrombospondin repeat-containing protein 1)	ADAMTSL4 TSRC1 PP1396 UNQ2803/PRO34012	Homo sapiens (Human)	1074	TISSUE SPECIFICITY: Expressed in colon, heart, leukocyte, liver, lung, skeletal muscle, spleen, testis and placenta. Weaker expression in bone marrow, brain tissue, kidney and pancreas. Expression studies in fetal tissues reveal strong expression in heart, kidney, liver, lung and skeletal muscle, but weaker expression in fetal brain and skin. {ECO:0000269|PubMed:19200529}.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:21989719}. Note=Colocalizes with FMN1 microfibrils in the eye ECM.	
Q75N90	reviewed	FBN3_HUMAN	Fibrillin-3 [Cleaved into: Fibrillin-3 C-terminal peptide]	FBN3 KIAA1776	Homo sapiens (Human)	2809	TISSUE SPECIFICITY: Predominantly expressed in connective tissues such as skeletal muscle, tendon, skin, perichondrium and periosteum. Highly expressed in fetal lung, brain, kidney. Expressed at low level in prostate, testis, mammary gland, uterus, ovary, placenta, bladder, adrenal gland, thyroid, fetal thymus, fetal liver, liver, fetal heart and heart. {ECO:0000269|PubMed:14962672}.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:14962672}.	
Q7Z2W7	reviewed	TRPM8_HUMAN	Transient receptor potential cation channel subfamily M member 8 (Long transient receptor potential channel 6) (LTrpC-6) (LTrpC6) (Transient receptor potential p8) (Trp-p8)	TRPM8 LTRPC6 TRPP8	Homo sapiens (Human)	1104	TISSUE SPECIFICITY: Expressed in prostate. Also expressed in prostate tumors and in non-prostatic primary tumors such as colon, lung, breast and skin tumors. {ECO:0000269|PubMed:11325849, ECO:0000269|PubMed:12858355, ECO:0000269|PubMed:16174775, ECO:0000269|PubMed:22128173}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16174775}; Multi-pass membrane protein {ECO:0000269|PubMed:37857704}. Membrane raft {ECO:0000250|UniProtKB:Q8R4D5}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:11325849, ECO:0000269|PubMed:16174775}. Note=Lipid raft association modulates TRPM8 channel activity (By similarity). Located in the endoplasmic reticulum in prostate cancer cells (PubMed:11325849, PubMed:16174775). {ECO:0000250|UniProtKB:Q8R4D5, ECO:0000269|PubMed:11325849, ECO:0000269|PubMed:16174775}.	"TRANSMEM 734..758; /note=""Helical; Name=1""; /evidence=""ECO:0000269|PubMed:37857704, ECO:0007744|PDB:8BDC""; TRANSMEM 766..789; /note=""Helical; Name=2""; /evidence=""ECO:0000269|PubMed:37857704, ECO:0007744|PDB:8BDC""; TRANSMEM 797..817; /note=""Helical; Name=3""; /evidence=""ECO:0000269|PubMed:37857704, ECO:0007744|PDB:8BDC""; TRANSMEM 823..848; /note=""Helical; Name=4""; /evidence=""ECO:0000269|PubMed:37857704, ECO:0007744|PDB:8BDC""; TRANSMEM 854..890; /note=""Helical; Name=5""; /evidence=""ECO:0000269|PubMed:37857704, ECO:0007744|PDB:8BDC""; TRANSMEM 955..983; /note=""Helical; Name=6""; /evidence=""ECO:0000269|PubMed:37857704, ECO:0007744|PDB:8BDC"""
Q86XP0	reviewed	PA24D_HUMAN	Cytosolic phospholipase A2 delta (cPLA2-delta) (EC 3.1.1.4) (Phospholipase A2 group IVD)	PLA2G4D	Homo sapiens (Human)	818	TISSUE SPECIFICITY: Expressed in stratified squamous epithelia, such as those in skin and cervix, but not in other tissues (PubMed:14709560). Strongly expressed in the upper spinous layer of the psoriatic epidermis, expressed weakly and discontinuously in atopic dermatitis and mycosis fungoides, and not detected in the epidermis of normal skin (PubMed:14709560). {ECO:0000269|PubMed:14709560}.	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q50L43}. Membrane {ECO:0000250|UniProtKB:Q50L43}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q50L43}; Cytoplasmic side {ECO:0000250|UniProtKB:Q50L43}. Note=Translocates to perinuclear membranes that may correspond to endoplasmic reticulum or Golgi in a calcium-dependent fashion. {ECO:0000250|UniProtKB:Q50L43}.	
Q86YW7	reviewed	GPHB5_HUMAN	Glycoprotein hormone beta-5 (Thyrostimulin subunit beta)	GPHB5 GPB5 ZLUT1	Homo sapiens (Human)	130	TISSUE SPECIFICITY: Highly expressed in brain and at low levels in pituitary. Also found in retina, testis and skin but not in pancreas, parotid, kidney, stomach, liver, colon, small intestine, thyroid, brain or adrenal gland. In pituitary, colocalizes with ACTH, suggesting that it is located in corticotrophs. {ECO:0000269|PubMed:12089349, ECO:0000269|PubMed:16210345}.	SUBCELLULAR LOCATION: Secreted.	
Q8TD07	reviewed	RAE1E_HUMAN	Retinoic acid early transcript 1E (Lymphocyte effector toxicity activation ligand) (NKG2D ligand 4) (N2DL-4) (NKG2DL4) (RAE-1-like transcript 4) (UL16-binding protein 4)	RAET1E LETAL N2DL4 ULBP4 UNQ1867/PRO4303	Homo sapiens (Human)	263	TISSUE SPECIFICITY: Predominantly expressed in the skin, but also expressed in testis and trachea. Up-regulated in tumor cells of different origins. Expression progressively decreased after treatment of tumor cells with retinoic acid. {ECO:0000269|PubMed:12732206, ECO:0000269|PubMed:14508119}.	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:15240696}; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted.	"TRANSMEM 226..248; /note=""Helical""; /evidence=""ECO:0000255"""
Q8WWY8	reviewed	LIPH_HUMAN	Lipase member H (LIPH) (EC 3.1.1.-) (LPD lipase-related protein) (Membrane-associated phosphatidic acid-selective phospholipase A1-alpha) (mPA-PLA1 alpha) (Phospholipase A1 member B)	LIPH LPDLR MPAPLA1 PLA1B	Homo sapiens (Human)	451	TISSUE SPECIFICITY: Present in intestine (at protein level). Expressed in colon, prostate, kidney, pancreas, ovary, testis, intestine, lung and pancreas. Expressed at lower level in brain, spleen and heart. In the skin, it is prominently expressed in hair follicles, including the stem cell-rich bulge region and the inner root sheath (PubMed:17095700, PubMed:32336749). {ECO:0000269|PubMed:12063250, ECO:0000269|PubMed:12213196, ECO:0000269|PubMed:12719377, ECO:0000269|PubMed:17095700, ECO:0000269|PubMed:32336749}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12963729}. Cell membrane {ECO:0000269|PubMed:12063250, ECO:0000269|PubMed:12963729}; Peripheral membrane protein.	
Q8WWZ1	reviewed	IL1FA_HUMAN	Interleukin-1 family member 10 (IL-1F10) (Family of interleukin 1-theta) (FIL1 theta) (Interleukin-1 HY2) (IL-1HY2) (Interleukin-1 theta) (IL-1 theta) (Interleukin-38) (IL-38)	IL1F10 FIL1T IL1HY2 IL38 FKSG75 UNQ6119/PRO20041	Homo sapiens (Human)	152	TISSUE SPECIFICITY: Expressed in fetal skin, spleen and tonsil. Expressed mostly in the basal epithelia of skin and in proliferating B-cells of the tonsil.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:32272059}. Secreted {ECO:0000269|PubMed:32272059}. Note=The secretion is dependent on protein unfolding and facilitated by the cargo receptor TMED10; it results in protein translocation from the cytoplasm into the ERGIC (endoplasmic reticulum-Golgi intermediate compartment) followed by vesicle entry and secretion. {ECO:0000269|PubMed:32272059}.	
Q92544	reviewed	TM9S4_HUMAN	Transmembrane 9 superfamily member 4 (Tumor cannibalism associated protein 1)	TM9SF4 KIAA0255 TUCAP1	Homo sapiens (Human)	642	TISSUE SPECIFICITY: Highly expressed in metastatic melanoma cells whereas it is undetectable in primary melanoma cells, healthy skin tissues and peripheral blood lymphocytes. Expressed in CD34(+) hematopoietic progenitor cells and during monocyte and granulocyte differentiation. Overexpressed in acute myeloid leukemia, in particular in those displaying granulocytic differentiation (at protein level). {ECO:0000269|PubMed:19893578, ECO:0000269|PubMed:25961573}.	SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus {ECO:0000269|PubMed:25999474}. Early endosome {ECO:0000269|PubMed:19893578}.	"TRANSMEM 282..302; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 347..367; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 377..397; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 417..437; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 450..470; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 502..522; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 536..556; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 571..591; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 599..619; /note=""Helical""; /evidence=""ECO:0000255"""
Q92874	reviewed	DNSL2_HUMAN	Deoxyribonuclease-1-like 2 (EC 3.1.21.-) (DNase I homolog protein DHP1) (Deoxyribonuclease I-like 2) (DNase I-like 2)	DNASE1L2 DHP1 DNAS1L2	Homo sapiens (Human)	299	TISSUE SPECIFICITY: Preferentially expressed in the skin and up-regulated during keratinocytes differentiation. Highly abundant (at protein level) in the stratum granulosum. {ECO:0000269|PubMed:16902420}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16902420}. Secreted {ECO:0000305}.	
Q92876	reviewed	KLK6_HUMAN	Kallikrein-6 (EC 3.4.21.-) (Neurosin) (Protease M) (SP59) (Serine protease 18) (Serine protease 9) (Zyme)	KLK6 PRSS18 PRSS9	Homo sapiens (Human)	244	TISSUE SPECIFICITY: In fluids, highest levels found in milk of lactating women followed by cerebrospinal fluid, nipple aspirate fluid and breast cyst fluid. Also found in serum, seminal plasma and some amniotic fluids and breast tumor cytosolic extracts. Not detected in urine. At the tissue level, highest concentrations found in glandular tissues such as salivary glands followed by lung, colon, fallopian tube, placenta, breast, pituitary and kidney. Not detected in skin, spleen, bone, thyroid, heart, ureter, liver, muscle, endometrium, testis, pancreas, seminal vesicle, ovary, adrenals and prostate. In brain, detected in gray matter neurons (at protein level). Colocalizes with pathological inclusions such as Lewy bodies and glial cytoplasmic inclusions. Overexpressed in primary breast tumors but not expressed in metastatic tumors. {ECO:0000269|PubMed:10997858, ECO:0000269|PubMed:11018688, ECO:0000269|PubMed:11668196, ECO:0000269|PubMed:12928483, ECO:0000269|PubMed:16800739}.	SUBCELLULAR LOCATION: Secreted. Nucleus, nucleolus. Cytoplasm. Mitochondrion. Microsome. Note=In brain, detected in the nucleus of glial cells and in the nucleus and cytoplasm of neurons. Detected in the mitochondrial and microsomal fractions of HEK-293 cells and released into the cytoplasm following cell stress.	
Q969D9	reviewed	TSLP_HUMAN	Thymic stromal lymphopoietin	TSLP	Homo sapiens (Human)	159	TISSUE SPECIFICITY: Isoform 1 is expressed in a number of tissues including heart, liver and prostate. Isoform 2 is the predominant form in keratinocytes of oral mucosa, skin and in salivary glands. It is secreted into saliva. {ECO:0000269|PubMed:11480573, ECO:0000269|PubMed:24850429}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11418668}.	
Q969J5	reviewed	I22R2_HUMAN	Interleukin-22 receptor subunit alpha-2 (IL-22 receptor subunit alpha-2) (IL-22R-alpha-2) (IL-22RA2) (Cytokine receptor class-II member 10) (Cytokine receptor family 2 member 10) (CRF2-10) (Cytokine receptor family type 2, soluble 1) (CRF2-S1) (Interleukin-22-binding protein) (IL-22BP) (IL22BP) (ZcytoR16)	IL22RA2 UNQ5793/PRO19598/PRO19822	Homo sapiens (Human)	263	TISSUE SPECIFICITY: Expressed in placenta, spleen, breast, skin and lung. Also detected in intestinal tract, testis, brain, heart and thymus. No expression found in prostate, bladder, kidney, ovary, muscle, bone marrow, liver and uterus. Isoform 1 is expressed only in placenta. Isoform 2 is expressed in placenta and breast and at lower level in spleen, skin, thymus and stomach. {ECO:0000269|PubMed:11481447, ECO:0000269|PubMed:11607789, ECO:0000269|PubMed:15201862}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12700595}.	
Q96LB8	reviewed	PGRP4_HUMAN	Peptidoglycan recognition protein 4 (Peptidoglycan recognition protein I-beta) (PGLYRPIbeta) (PGRP-I-beta) (Peptidoglycan recognition protein intermediate beta)	PGLYRP4 PGRPIB SBBI67	Homo sapiens (Human)	373	TISSUE SPECIFICITY: Detected in skin epidermis, eccrine sweat glands and ducts, mucous cells in the submandibular salivary gland, mucous cells in the throat, ciliary body epithelial cells of the eye, small intestine, colon, stomach and in mature epithelial cells of the tongue (at protein level). High expression in skin and esophagus. Expressed also to a much lesser extent in the tonsils and thymus. {ECO:0000269|PubMed:11461926, ECO:0000269|PubMed:16354652}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16354652}.	
Q96LB9	reviewed	PGRP3_HUMAN	Peptidoglycan recognition protein 3 (Peptidoglycan recognition protein I-alpha) (PGLYRPIalpha) (PGRP-I-alpha) (Peptidoglycan recognition protein intermediate alpha)	PGLYRP3 PGRPIA	Homo sapiens (Human)	341	TISSUE SPECIFICITY: Detected in skin epidermis, eccrine sweat glands and ducts, ciliary body epithelial cells of the eye, in small intestine, colon, stomach and in mature epithelial cells of the tongue (at protein level). Highly expressed in skin and esophagus, expressed also in tonsils and thymus and to a much lesser extent in the stomach, descending colon, rectum and brain. {ECO:0000269|PubMed:11461926, ECO:0000269|PubMed:16354652}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16354652}.	
Q96RW7	reviewed	HMCN1_HUMAN	Hemicentin-1 (Fibulin-6) (FIBL-6)	HMCN1 FIBL6	Homo sapiens (Human)	5635	TISSUE SPECIFICITY: Expressed in hair follicles and in the dermis (at protein level). {ECO:0000269|PubMed:32035013}.; TISSUE SPECIFICITY: [Isoform 1]: Expressed in skin fibroblasts and retinal pigment epithelium (RPE) cells. {ECO:0000269|PubMed:14570714}.; TISSUE SPECIFICITY: [Isoform 2]: Expressed in skin fibroblasts and retinal pigment epithelium (RPE) cells. {ECO:0000269|PubMed:14570714}.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000250|UniProtKB:D3YXG0}. Cytoplasm {ECO:0000250|UniProtKB:D3YXG0}. Cell junction {ECO:0000250|UniProtKB:D3YXG0}. Cleavage furrow {ECO:0000250|UniProtKB:D3YXG0}. Note=Has been detected in the glomerular basement membrane in one study. However, another study found expression in the glomerular mesangial matrix but not in the glomerular basement membrane. The antibody used to determine subcellular location does not distinguish between HMCN1 and HMCN2. {ECO:0000250|UniProtKB:D3YXG0}.	
