Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	PDB	Transmembrane	Subcellular location [CC]
Q06787	reviewed	FMR1_HUMAN	Fragile X messenger ribonucleoprotein 1 (Fragile X messenger ribonucleoprotein) (FMRP) (Protein FMR-1)	FMR1	Homo sapiens (Human)	632	TISSUE SPECIFICITY: Expressed in the brain, cerebellum and testis (PubMed:8401578, PubMed:9259278). Also expressed in epithelial tissues (PubMed:8401578). Expressed in mature oligodendrocytes (OLGs) (PubMed:23891804). Expressed in fibroblast (PubMed:24204304). Expressed in neurons, Purkinje cells and spermatogonias (at protein level) (PubMed:8401578, PubMed:9259278). Expressed in brain, testis and placenta (PubMed:8504300, PubMed:9259278). Expressed in neurons and lymphocytes (PubMed:8504300). {ECO:0000269|PubMed:23891804, ECO:0000269|PubMed:24204304, ECO:0000269|PubMed:8401578, ECO:0000269|PubMed:8504300, ECO:0000269|PubMed:9259278}.	2BKD;2FMR;2LA5;2QND;4OVA;4QVZ;4QW2;5DE5;5DE8;5DEA;5UWJ;5UWO;		SUBCELLULAR LOCATION: Cytoplasm, Cytoplasmic ribonucleoprotein granule {ECO:0000269|PubMed:12417734, ECO:0000269|PubMed:14532325, ECO:0000269|PubMed:15380484, ECO:0000269|PubMed:16636078, ECO:0000269|PubMed:18093976, ECO:0000269|PubMed:30765518, ECO:0000269|PubMed:31439799, ECO:0000269|PubMed:39106863, ECO:0000269|PubMed:9659908}. Cytoplasm, Stress granule {ECO:0000269|PubMed:12417522, ECO:0000269|PubMed:16636078, ECO:0000269|PubMed:18632687, ECO:0000269|PubMed:18664458}. Cytoplasm {ECO:0000269|PubMed:10196376, ECO:0000269|PubMed:12837692, ECO:0000269|PubMed:18664458, ECO:0000269|PubMed:18936162, ECO:0000269|PubMed:7781595, ECO:0000269|PubMed:8401578, ECO:0000269|PubMed:8515814, ECO:0000269|PubMed:9259278}. Perikaryon {ECO:0000269|PubMed:12417734, ECO:0000269|PubMed:15380484, ECO:0000269|PubMed:18093976}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:24658146}. Cell projection, neuron projection {ECO:0000269|PubMed:12417734, ECO:0000269|PubMed:15380484, ECO:0000269|PubMed:18093976}. Cell projection, axon {ECO:0000250|UniProtKB:P35922}. Cell projection, dendrite {ECO:0000250|UniProtKB:P35922}. Cell projection, dendritic spine {ECO:0000250|UniProtKB:P35922}. Synapse, synaptosome {ECO:0000250|UniProtKB:P35922}. Cell projection, growth cone {ECO:0000269|PubMed:15380484}. Cell projection, filopodium tip {ECO:0000250|UniProtKB:P35922}. Synapse {ECO:0000250|UniProtKB:P35922}. Postsynaptic cell membrane {ECO:0000250|UniProtKB:P35922}. Presynaptic cell membrane {ECO:0000250|UniProtKB:P35922}. Nucleus {ECO:0000269|PubMed:10196376, ECO:0000269|PubMed:16571602, ECO:0000269|PubMed:18936162, ECO:0000269|PubMed:31753916}. Nucleus, nucleolus {ECO:0000269|PubMed:12837692, ECO:0000269|PubMed:16407062, ECO:0000269|PubMed:16571602, ECO:0000269|PubMed:24658146}. Chromosome, centromere {ECO:0000250|UniProtKB:P35922}. Chromosome {ECO:0000250|UniProtKB:P35922}. Cell membrane {ECO:0000250|UniProtKB:P35922}. Note=Mediates formation and localizes to cytoplasmic ribonucleoprotein membraneless compartments (PubMed:30765518, PubMed:31439799). Localizes to cytoplasmic ribonucleoprotein granules, also referred to as messenger ribonucleoprotein particles or mRNPs, along dendrites and dendritic spines (PubMed:14532325, PubMed:9659908). FMR1-containing cytoplasmic granules colocalize to F-actin-rich structures, including filopodium, spines and growth cone during the development of hippocampal neurons (By similarity). FMR1-containing cytoplasmic granules are transported out of the soma along axon and dendrite to synaptic contacts in a microtubule- and kinesin-dependent manner (PubMed:12417734, PubMed:15380484). Colocalizes with FXR1 and FXR2 in discrete granules, called fragile X granules (FXGs), along axon and presynaptic compartments (By similarity). Colocalizes with TDRD3 in cytoplasmic stress granules (SGs) in response to various cellular stress (PubMed:16636078, PubMed:18632687, PubMed:18664458). Colocalizes with FXR1, kinesin, 60S acidic ribosomal protein RPLP0 and SMN in cytoplasmic granules in the soma and neurite cell processes (PubMed:12417734, PubMed:16636078, PubMed:18093976). Colocalizes with H2AX/H2A.x in pericentromeric heterochromatin in response to DNA damaging agents (By similarity). Localizes on meiotic pachytene-stage chromosomes (By similarity). Forms nuclear foci representing sites of ongoing DNA replication in response to DNA damaging agents (By similarity). Shuttles between nucleus and cytoplasm in a XPO1/CRM1-dependent manner (PubMed:10196376). Colocalizes with CACNA1B in the cytoplasm and at the cell membrane of neurons (By similarity). Colocalizes with CYFIP1, CYFIP2, NXF2 and ribosomes in the perinuclear region (By similarity). Colocalizes with CYFIP1 and EIF4E in dendrites and probably at synapses (By similarity). {ECO:0000250|UniProtKB:P35922, ECO:0000250|UniProtKB:Q80WE1, ECO:0000269|PubMed:10196376, ECO:0000269|PubMed:12417734, ECO:0000269|PubMed:14532325, ECO:0000269|PubMed:15380484, ECO:0000269|PubMed:16636078, ECO:0000269|PubMed:18093976, ECO:0000269|PubMed:18632687, ECO:0000269|PubMed:18664458, ECO:0000269|PubMed:30765518, ECO:0000269|PubMed:31439799, ECO:0000269|PubMed:9659908}.; SUBCELLULAR LOCATION: [Isoform 6]: Cytoplasm {ECO:0000269|PubMed:24204304, ECO:0000269|PubMed:8789445}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:24204304}.; SUBCELLULAR LOCATION: [Isoform 9]: Cytoplasm {ECO:0000269|PubMed:24204304, ECO:0000269|PubMed:8789445}.; SUBCELLULAR LOCATION: [Isoform 10]: Nucleus {ECO:0000269|PubMed:8789445}. Nucleus, Cajal body {ECO:0000269|PubMed:24204304}. Note=Colocalizes with Colin and SMN in Cajal bodies (PubMed:24204304).; SUBCELLULAR LOCATION: [Isoform 11]: Nucleus {ECO:0000269|PubMed:8789445}. Nucleus, Cajal body {ECO:0000269|PubMed:24204304}.
Q07092	reviewed	COGA1_HUMAN	Collagen alpha-1(XVI) chain	COL16A1 FP1572	Homo sapiens (Human)	1604	TISSUE SPECIFICITY: In papillary dermis, is a component of specialized fibrillin-1-containing microfibrils, whereas in territorial cartilage matrix, it is localized to a discrete population of thin, weakly banded collagen fibrils in association with other collagens (at protein level). In the placenta, where it is found in the amnion, a membranous tissue lining the amniotic cavity. Within the amnion, it is found in an acellular, relatively dense layer of a complex network of reticular fibers. Also located to a fibroblast layer beneath this dense layer. Exists in tissues in association with other types of collagen. {ECO:0000269|PubMed:12782140}.			SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:9022684}.
Q12884	reviewed	SEPR_HUMAN	Prolyl endopeptidase FAP (EC 3.4.21.26) (170 kDa melanoma membrane-bound gelatinase) (Dipeptidyl peptidase FAP) (EC 3.4.14.5) (Fibroblast activation protein alpha) (FAPalpha) (Gelatine degradation protease FAP) (EC 3.4.21.-) (Integral membrane serine protease) (Post-proline cleaving enzyme) (Serine integral membrane protease) (SIMP) (Surface-expressed protease) (Seprase) [Cleaved into: Antiplasmin-cleaving enzyme FAP, soluble form (APCE) (EC 3.4.14.5) (EC 3.4.21.-) (EC 3.4.21.26)]	FAP	Homo sapiens (Human)	760	TISSUE SPECIFICITY: Expressed in adipose tissue. Expressed in the dermal fibroblasts in the fetal skin. Expressed in the granulation tissue of healing wounds and on reactive stromal fibroblast in epithelial cancers. Expressed in activated fibroblast-like synoviocytes from inflamed synovial tissues. Expressed in activated hepatic stellate cells (HSC) and myofibroblasts from cirrhotic liver, but not detected in normal liver. Expressed in glioma cells (at protein level). Expressed in glioblastomas and glioma cells. Isoform 1 and isoform 2 are expressed in melanoma, carcinoma and fibroblast cell lines. {ECO:0000269|PubMed:10347120, ECO:0000269|PubMed:10593948, ECO:0000269|PubMed:10644713, ECO:0000269|PubMed:16175601, ECO:0000269|PubMed:17105646, ECO:0000269|PubMed:20707604, ECO:0000269|PubMed:24371721, ECO:0000269|PubMed:7911242}.	1Z68;6Y0F;	TRANSMEM 5..25; /note="Helical; Signal-anchor for type II membrane protein"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: [Prolyl endopeptidase FAP]: Cell surface {ECO:0000269|PubMed:10593948, ECO:0000269|PubMed:16175601, ECO:0000269|PubMed:17105646, ECO:0000269|PubMed:24717288, ECO:0000269|PubMed:7911242}. Cell membrane {ECO:0000269|PubMed:12376466, ECO:0000269|PubMed:16651416, ECO:0000269|PubMed:9065413, ECO:0000303|PubMed:10455171}; Single-pass type II membrane protein {ECO:0000255}. Cell projection, lamellipodium membrane {ECO:0000269|PubMed:16651416, ECO:0000269|PubMed:9065413}; Single-pass type II membrane protein {ECO:0000255}. Cell projection, invadopodium membrane {ECO:0000269|PubMed:12376466, ECO:0000269|PubMed:16651416, ECO:0000269|PubMed:7923219, ECO:0000269|PubMed:9065413, ECO:0000303|PubMed:10455171}; Single-pass type II membrane protein {ECO:0000255}. Cell projection, ruffle membrane {ECO:0000303|PubMed:10455171}; Single-pass type II membrane protein {ECO:0000255}. Membrane {ECO:0000269|PubMed:2172980}; Single-pass type II membrane protein {ECO:0000255}. Note=Localized on cell surface with lamellipodia and invadopodia membranes and on shed vesicles. Colocalized with DPP4 at invadopodia and lamellipodia membranes of migratory activated endothelial cells in collagenous matrix. Colocalized with DPP4 on endothelial cells of capillary-like microvessels but not large vessels within invasive breast ductal carcinoma. Anchored and enriched preferentially by integrin alpha-3/beta-1 at invadopodia, plasma membrane protrusions that correspond to sites of cell invasion, in a collagen-dependent manner. Localized at plasma and ruffle membranes in a collagen-independent manner. Colocalized with PLAUR preferentially at the cell surface of invadopodia membranes in a cytoskeleton-, integrin- and vitronectin-dependent manner. Concentrated at invadopodia membranes, specialized protrusions of the ventral plasma membrane in a fibrobectin-dependent manner. Colocalizes with extracellular components (ECM), such as collagen fibers and fibronectin. {ECO:0000269|PubMed:10593948, ECO:0000269|PubMed:12376466, ECO:0000269|PubMed:16175601, ECO:0000269|PubMed:16651416, ECO:0000269|PubMed:17105646, ECO:0000269|PubMed:2172980, ECO:0000269|PubMed:24717288, ECO:0000269|PubMed:7911242, ECO:0000269|PubMed:7923219, ECO:0000269|PubMed:9065413, ECO:0000303|PubMed:10455171}.; SUBCELLULAR LOCATION: [Antiplasmin-cleaving enzyme FAP, soluble form]: Secreted {ECO:0000269|PubMed:14751930, ECO:0000269|PubMed:16223769, ECO:0000269|PubMed:24371721}. Note=Found in blood plasma and serum. {ECO:0000269|PubMed:14751930, ECO:0000269|PubMed:16223769, ECO:0000269|PubMed:24371721}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000303|PubMed:10644713}.
Q12913	reviewed	PTPRJ_HUMAN	Receptor-type tyrosine-protein phosphatase eta (Protein-tyrosine phosphatase eta) (R-PTP-eta) (EC 3.1.3.48) (Density-enhanced phosphatase 1) (DEP-1) (HPTP eta) (Protein-tyrosine phosphatase receptor type J) (R-PTP-J) (CD antigen CD148)	PTPRJ DEP1	Homo sapiens (Human)	1337	TISSUE SPECIFICITY: Expressed in the promyelocytic cell line HL-60, the granulocyte-macrophage colony-stimulating factor-dependent leukemic cell line F-36P, and the IL3 and erythropoietin-dependent leukemic cell line F-36E. Expressed predominantly in epithelial cells and lymphocytes. Enhanced expression at high cell density. {ECO:0000269|PubMed:12370829, ECO:0000269|PubMed:8483328, ECO:0000269|PubMed:9531590}.; TISSUE SPECIFICITY: [Isoform 2]: Expressed in the brain. {ECO:0000269|PubMed:28052032}.	2CFV;2DLE;2NZ6;7U01;7U08;	TRANSMEM 976..996; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Cell projection, ruffle membrane {ECO:0000250}. Cell junction. Note=After T-cell stimulation, it is temporarily excluded from immunological synapses.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted, extracellular space {ECO:0000269|PubMed:28052032}.
Q12948	reviewed	FOXC1_HUMAN	Forkhead box protein C1 (Forkhead-related protein FKHL7) (Forkhead-related transcription factor 3) (FREAC-3)	FOXC1 FKHL7 FREAC3	Homo sapiens (Human)	553	TISSUE SPECIFICITY: Expressed in keratinocytes of epidermis and hair follicle (PubMed:27907090). Expressed strongly in microvascular invasion (MVI) formation, basal-like breast cancer (BLBC) and hepatocellular tumors (PubMed:20406990, PubMed:22991501). Expressed in breast cancers (at protein level) (PubMed:26565916). Expressed in hematopoietic cells (PubMed:8499623). {ECO:0000269|PubMed:20406990, ECO:0000269|PubMed:22991501, ECO:0000269|PubMed:26565916, ECO:0000269|PubMed:27907090, ECO:0000269|PubMed:8499623}.			SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11782474, ECO:0000269|PubMed:14578375, ECO:0000269|PubMed:15277473, ECO:0000269|PubMed:15299087, ECO:0000269|PubMed:15684392, ECO:0000269|PubMed:16449236, ECO:0000269|PubMed:17210863, ECO:0000269|PubMed:19279310, ECO:0000269|PubMed:19793056, ECO:0000269|PubMed:20406990, ECO:0000269|PubMed:25786029, ECO:0000269|PubMed:26565916, ECO:0000269|PubMed:27804176}. Note=Colocalizes with PITX2 isoform 3 in the nucleus at subnuclear chromatine regions (PubMed:16449236). Colocalizes with CBX5 to a heterochromatin-rich region of the nucleus (PubMed:15684392). Colocalizes with GLI2 in the nucleus (By similarity). {ECO:0000250|UniProtKB:Q61572, ECO:0000269|PubMed:15684392, ECO:0000269|PubMed:16449236}.
Q13018	reviewed	PLA2R_HUMAN	Secretory phospholipase A2 receptor (PLA2-R) (PLA2R) (180 kDa secretory phospholipase A2 receptor) (C-type lectin domain family 13 member C) (M-type receptor) [Cleaved into: Soluble secretory phospholipase A2 receptor (Soluble PLA2-R) (Soluble PLA2R)]	PLA2R1 CLEC13C	Homo sapiens (Human)	1463	TISSUE SPECIFICITY: Expressed in podocytes (at protein level) (PubMed:25335547). Present in lung macrophage (at protein level). Highly expressed in kidney. Also expressed in pancreas, amnion, choriodecidua and placenta. Isoform 2 is expressed at much lower level. {ECO:0000269|PubMed:15611272, ECO:0000269|PubMed:25335547, ECO:0000269|PubMed:7721806, ECO:0000269|PubMed:7925459, ECO:0000269|PubMed:9481783}.	6JLI;7QSR;	TRANSMEM 1398..1418; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: [Soluble secretory phospholipase A2 receptor]: Secreted {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.
Q13094	reviewed	LCP2_HUMAN	Lymphocyte cytosolic protein 2 (SH2 domain-containing leukocyte protein of 76 kDa) (SLP-76 tyrosine phosphoprotein) (SLP76)	LCP2	Homo sapiens (Human)	533	TISSUE SPECIFICITY: Highly expressed in spleen, thymus and peripheral blood leukocytes. Highly expressed also in T-cell and monocytic cell lines, expressed at lower level in B-cell lines. Not detected in fibroblast or neuroblastoma cell lines.	1H3H;1YWO;2EAP;2ROR;6ZCJ;		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
Q13201	reviewed	MMRN1_HUMAN	Multimerin-1 (EMILIN-4) (Elastin microfibril interface located protein 4) (Elastin microfibril interfacer 4) (Endothelial cell multimerin) [Cleaved into: Platelet glycoprotein Ia*; 155 kDa platelet multimerin (p-155) (p155)]	MMRN1 ECM EMILIN4 GPIA* MMRN	Homo sapiens (Human)	1228	TISSUE SPECIFICITY: Synthesized by endothelial cells and megakaryocytes. Stored in platelet alpha granules and endothelial cell Weibel-Palade bodies, following activation of these cells, it is released and attached to megakaryocytes, platelets, endothelium and subendothelium of blood vessels. Not found in plasma. Found in vascular tissues such as placenta, lung, and liver. {ECO:0000269|PubMed:7629143, ECO:0000269|PubMed:8514871}.			SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:38237698, ECO:0000269|PubMed:39775168}. Note=O-fucosylation of Thr-216 and Thr-1055 is important for protein secretion. {ECO:0000269|PubMed:38237698, ECO:0000269|PubMed:39775168}.
Q14210	reviewed	LY6D_HUMAN	Lymphocyte antigen 6D (Ly-6D) (E48 antigen)	LY6D E48	Homo sapiens (Human)	128	TISSUE SPECIFICITY: Expressed exclusively at the outer cell surface of transitional epithelia and the keratinocyte of stratified squamous epithelia.			SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor.
Q14CN4	reviewed	K2C72_HUMAN	Keratin, type II cytoskeletal 72 (Cytokeratin-72) (CK-72) (Keratin-72) (K72) (Type II inner root sheath-specific keratin-K6irs2) (Type-II keratin Kb35)	KRT72 K6IRS2 KB35 KRT6 KRT6IRS2	Homo sapiens (Human)	511	TISSUE SPECIFICITY: Highly expressed in hair follicles from scalp and eyebrow. Also expressed in palmoplantar epidermis. Not expressed in face skin despite the presence of fine hairs histologically. In hair, it is specifically present in the inner root sheath (IRS) of the hair follicle. Present in the IRS cuticle, but not in Henle or Huxley layers of the IRS. In the IRS cuticle, its presence is delayed up to the height of the apex of the dermal papilla (at protein level). {ECO:0000269|PubMed:11703281, ECO:0000269|PubMed:12648212, ECO:0000269|PubMed:16874310}.			
Q15056	reviewed	IF4H_HUMAN	Eukaryotic translation initiation factor 4H (eIF-4H) (Williams-Beuren syndrome chromosomal region 1 protein)	EIF4H KIAA0038 WBSCR1 WSCR1	Homo sapiens (Human)	248	TISSUE SPECIFICITY: The short isoform is the predominant isoform and is expressed alone in liver and skeletal muscle. Both isoforms are expressed in fibroblast, spleen, testis and bone marrow. Levels are high in lung and pancreas and low in heart, frontal cortex and kidney. {ECO:0000269|PubMed:11003705, ECO:0000269|PubMed:8812460}.			SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000250}.
Q15697	reviewed	ZN174_HUMAN	Zinc finger protein 174 (AW-1) (Zinc finger and SCAN domain-containing protein 8)	ZNF174 ZSCAN8	Homo sapiens (Human)	407	TISSUE SPECIFICITY: Expressed in a variety of organs, but most strongly in adult testis and ovary followed by small intestine, colon, prostate, thymus, spleen, pancreas, skeletal muscle, heart, brain and kidney. Also expressed in umbilical vein endothelial cells, foreskin fibroblast and Hep-G2 cells.	1Y7Q;		SUBCELLULAR LOCATION: Nucleus.
Q16655	reviewed	MAR1_HUMAN	Melanoma antigen recognized by T-cells 1 (MART-1) (Antigen LB39-AA) (Antigen SK29-AA) (Protein Melan-A)	MLANA MART1	Homo sapiens (Human)	118	TISSUE SPECIFICITY: Expression is restricted to melanoma and melanocyte cell lines and retina.	2GT9;2GTW;2GTZ;2GUO;3HG1;3L6F;3MRO;3MRP;3MRQ;3QDM;3QEQ;3QFD;4EUP;4JFF;4L3E;4QOK;4WJ5;5E9D;5NHT;5NQK;6D78;6DKP;6TMO;7Q9B;7TR4;	TRANSMEM 27..47; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass type III membrane protein. Golgi apparatus. Golgi apparatus, trans-Golgi network membrane. Melanosome. Note=Also found in small vesicles and tubules dispersed over the entire cytoplasm. A small fraction of the protein is inserted into the membrane in an inverted orientation. Inversion of membrane topology results in the relocalization of the protein from a predominant Golgi/post-Golgi area to the endoplasmic reticulum. Melanoma cells expressing the protein with an inverted membrane topology are more effectively recognized by specific cytolytic T-lymphocytes than those expressing the protein in its native membrane orientation.
Q3SY84	reviewed	K2C71_HUMAN	Keratin, type II cytoskeletal 71 (Cytokeratin-71) (CK-71) (Keratin-71) (K71) (Type II inner root sheath-specific keratin-K6irs1) (Keratin 6 irs) (hK6irs) (hK6irs1) (Type-II keratin Kb34)	KRT71 K6IRS1 KB34 KRT6IRS1	Homo sapiens (Human)	523	TISSUE SPECIFICITY: Highly expressed in hair follicles from scalp. Specifically expressed in the inner root sheath (IRS) of the hair follicle. Present in the all 3 IRS layers: the cuticle, the Henle and the Huxley layers. Also detected in the pseudopods of specialized Huxley cells, termed Fluegelzellen, along the area of differentiated Henle cells (at protein level). {ECO:0000269|PubMed:11982755, ECO:0000269|PubMed:12648212, ECO:0000269|PubMed:16874310, ECO:0000269|PubMed:22592156}.			SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:22592156}.
Q58HT5	reviewed	AWAT1_HUMAN	Acyl-CoA wax alcohol acyltransferase 1 (EC 2.3.1.75) (Diacylglycerol O-acyltransferase 2-like protein 3) (Diacylglycerol acyltransferase 2) (Long-chain-alcohol O-fatty-acyltransferase 1)	AWAT1 DGA2 DGAT2L3	Homo sapiens (Human)	328	TISSUE SPECIFICITY: Predominantly expressed in skin, where it is limited to the sebaceous gland. Expressed in more mature, centrally located cells just before their rupture and sebum release. Also expressed in all tissues except spleen. Expressed at higher level in thymus, prostate and testis. {ECO:0000269|PubMed:15671038}.		TRANSMEM 12..32; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 34..53; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q6E213}; Multi-pass membrane protein {ECO:0000255}.
Q5BVD1	reviewed	TTMP_HUMAN	TPA-induced transmembrane protein	TTMP C3orf52	Homo sapiens (Human)	217	TISSUE SPECIFICITY: Detected predominantly in the skin, with strongest expression in the inner root sheath of the hair follicle. {ECO:0000269|PubMed:32336749}.		TRANSMEM 66..86; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000305}. Cell membrane {ECO:0000269|PubMed:32336749}; Single-pass type I membrane protein {ECO:0000305}.
Q5QGZ9	reviewed	CL12A_HUMAN	C-type lectin domain family 12 member A (C-type lectin-like molecule 1) (CLL-1) (Dendritic cell-associated lectin 2) (DCAL-2) (Killer cell C-type lectin-like receptor L1) (hKLRL1) (Myeloid inhibitory C-type lectin-like receptor) (MICL) (CD antigen CD371)	CLEC12A CLL1 DCAL2 KLRL1 MICL	Homo sapiens (Human)	265	TISSUE SPECIFICITY: Preferentially expressed in lymphoid tissues and immune cells, including natural killer (NK) cells, T-cells, dendritic cells and monocytes or macrophages (PubMed:14739280, PubMed:15238421, PubMed:15548716, PubMed:16239426, PubMed:16838277). Detected in spleen macrophage-rich red pulp and in lymph node (at protein level) (PubMed:16838277). Detected in peripheral blood leukocytes, dendritic cells, bone marrow, monocytes, mononuclear leukocytes and macrophages (PubMed:16838277). {ECO:0000269|PubMed:14739280, ECO:0000269|PubMed:15238421, ECO:0000269|PubMed:15548716, ECO:0000269|PubMed:16239426, ECO:0000269|PubMed:16838277}.	8JAH;8W8T;8W9J;	TRANSMEM 44..64; /note="Helical; Signal-anchor for type II membrane protein"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:14739280, ECO:0000269|PubMed:15238421, ECO:0000269|PubMed:15548716, ECO:0000269|PubMed:16239426, ECO:0000269|PubMed:16838277, ECO:0000269|PubMed:34234773, ECO:0000269|PubMed:38367667}; Single-pass type II membrane protein {ECO:0000255}. Note=Ligand binding leads to internalization (PubMed:16239426). Clusters at phagocytic vesicles upon monosodium urate crystal-binding (PubMed:38367667). {ECO:0000269|PubMed:16239426, ECO:0000269|PubMed:38367667}.
Q674X7	reviewed	KAZRN_HUMAN	Kazrin	KAZN C1orf196 KAZ KIAA1026 HRIHFB2003	Homo sapiens (Human)	775	TISSUE SPECIFICITY: Isoform 2, isoform 3 and isoform 4 are expressed in several cell lines including keratinocytes and bladder and epidermoid carcinoma (at protein level). Isoform 2, isoform 3 and isoform 4 are expressed in hair follicle and interfollicular epidermis (at protein level). {ECO:0000269|PubMed:15337775}.			SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm. Cell junction, desmosome. Nucleus. Note=Observed at the apical plasma membrane of keratinocytes. Partially colocalizes with PPL and DP at desmosomes, and with PP at the interdesmosomal plasma membrane. Colocalizes with cortical actin-based membrane structures.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm. Cell junction, desmosome. Nucleus. Note=Observed at the apical plasma membrane of keratinocytes. Partially colocalizes with PPL and DP at desmosomes, and with PP at the interdesmosomal plasma membrane. Colocalizes with cortical actin-based membrane structures.; SUBCELLULAR LOCATION: [Isoform 4]: Cytoplasm. Cell junction, desmosome. Nucleus. Note=Observed at the apical plasma membrane of keratinocytes. Partially colocalizes with PPL and DP at desmosomes, and with PP at the interdesmosomal plasma membrane. Colocalizes with cortical actin-based membrane structures.
Q6A162	reviewed	K1C40_HUMAN	Keratin, type I cytoskeletal 40 (Cytokeratin-40) (CK-40) (Keratin-40) (K40) (Type I hair keratin Ka36)	KRT40 KA36	Homo sapiens (Human)	431	TISSUE SPECIFICITY: Expressed in skin and scalp. Also very weakly expressed in tongue, breast, colon and small intestine. In the hair follicle, it is specifically present in the upper hair cuticle. Not present in the upper cortex (at protein level). {ECO:0000269|PubMed:15617563, ECO:0000269|PubMed:17301834}.			
Q6A163	reviewed	K1C39_HUMAN	Keratin, type I cytoskeletal 39 (Cytokeratin-39) (CK-39) (Keratin-39) (K39) (Type I hair keratin Ka35)	KRT39 KA35	Homo sapiens (Human)	491	TISSUE SPECIFICITY: Expressed in skin and scalp. In the hair follicle, it is present in the upper hair cuticle and the upper cortex. Also present in the in the upper portion of beard hairs (at protein level). {ECO:0000269|PubMed:15617563, ECO:0000269|PubMed:17301834}.			
Q6PEX3	reviewed	KR261_HUMAN	Keratin-associated protein 26-1	KRTAP26-1 KAP26.1	Homo sapiens (Human)	210	TISSUE SPECIFICITY: Localized high up in the well differentiated portion of the hair follicle cuticle (about 10-15 cell layers above the apex of the dermal papilla). {ECO:0000269|PubMed:18647308}.			
Q6ZMC9	reviewed	SIG15_HUMAN	Sialic acid-binding Ig-like lectin 15 (Siglec-15) (CD33 antigen-like 3)	SIGLEC15 CD33L3	Homo sapiens (Human)	328	TISSUE SPECIFICITY: Expressed in macrophage and/or dendritic cells of spleen and lymph nodes.	7ZOZ;	TRANSMEM 264..284; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q71F23	reviewed	CENPU_HUMAN	Centromere protein U (CENP-U) (Centromere protein of 50 kDa) (CENP-50) (Interphase centromere complex protein 24) (KSHV latent nuclear antigen-interacting protein 1) (MLF1-interacting protein) (Polo-box-interacting protein 1)	CENPU ICEN24 KLIP1 MLF1IP PBIP1	Homo sapiens (Human)	418	TISSUE SPECIFICITY: Expressed at high levels in the testis, fetal liver, thymus, bone marrow and at lower levels in the lymph nodes, placenta, colon and spleen. Present in all cell lines examined, including B-cells, T-cells, epithelial cells and fibroblast cells. Expressed at high levels in glioblastoma cell lines. {ECO:0000269|PubMed:12941884, ECO:0000269|PubMed:15116101, ECO:0000269|PubMed:15893739}.	7PB8;7PKN;7QOO;7R5S;7R5V;7XHN;7XHO;7YWX;7YYH;		SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Chromosome, centromere, kinetochore. Note=Localizes in the kinetochore domain of centromeres. Colocalizes with PLK1 at the interzone between the inner and the outer kinetochore plates.
